улыбнуться,"{'104022-2.txt': [1652, 6996]}"
смотреть,"{'104022-2.txt': [1666, 13475]}"
безумный,{'104022-2.txt': [1680]}
вернуться,"{'104022-2.txt': [1696, 3645, 3701, 3725, 9099]}"
домой,{'104022-2.txt': [1706]}
хорошо,"{'104022-2.txt': [1724, 1790, 3687, 8093, 9793]}"
хороший,"{'104022-2.txt': [1737, 3737, 5588, 7492, 7504, 8639, 8771, 8799]}"
отвечать,"{'104022-2.txt': [1754, 2912, 3490, 5128, 5859, 6269, 6829, 6978, 7470, 7842, 8039, 8964, 11118, 13716, 14190]}"
разве,"{'104022-2.txt': [1797, 2207, 6942, 14402]}"
большой,"{'104022-2.txt': [1806, 2289, 6739]}"
расстаться,{'104022-2.txt': [1817]}
рассказать,{'104022-2.txt': [1828]}
твой,"{'104022-2.txt': [1846, 4096, 4234, 4474, 5598, 6609, 7539, 13914, 14053]}"
счастье,"{'104022-2.txt': [1851, 2297]}"
простить,{'104022-2.txt': [1864]}
господь,"{'104022-2.txt': [1875, 3508, 7886]}"
радоваться,{'104022-2.txt': [1889]}
счастие,"{'104022-2.txt': [1900, 1968, 5214, 13961]}"
построить,{'104022-2.txt': [1908]}
горе,{'104022-2.txt': [1921]}
целый,{'104022-2.txt': [1926]}
семья,{'104022-2.txt': [1932]}
желать,{'104022-2.txt': [1957]}
оно,{'104022-2.txt': [1976]}
пришлый,{'104022-2.txt': [1980]}
сам,"{'104022-2.txt': [1988, 8400, 10013, 13737]}"
себя,"{'104022-2.txt': [1992, 2353, 3590, 10019, 12464, 13741]}"
сила,"{'104022-2.txt': [2007, 2469]}"
печалиться,{'104022-2.txt': [2012]}
капитан,"{'104022-2.txt': [2023, 2161, 7276, 7382, 7452, 8427, 8570, 8728, 9312, 9768, 10397]}"
леклер,{'104022-2.txt': [2031]}
скончаться,{'104022-2.txt': [2038]}
весьма,{'104022-2.txt': [2051]}
вероятно,{'104022-2.txt': [2058]}
благодаря,{'104022-2.txt': [2071]}
покровительство,{'104022-2.txt': [2081]}
моррель,"{'104022-2.txt': [2097, 3186, 6756, 6792, 7209, 9375]}"
получить,"{'104022-2.txt': [2107, 4413]}"
место,"{'104022-2.txt': [2119, 11181, 11530]}"
